id,product_name,origin text,price
617,yellow drop / pink drop / pink pad / red pad (택1),예민한 피부인데 자극 없이 순해서 좋아요. 수분 부족형 지성 피부인데 속건조를 잡아주는 느낌이라서 이거 하나 발라도 충분히 촉촉하네요. 간절기에 바르기 넘 좋네요 ^^,"25,000원 "
618,PINK DROP 30ml & PINK PAD 60sheets,마스크가 생활화 되다보니 피부가 예민하고 건성피부라서 칙칙하고 생기없는 피부가 고민되어 사용해보았어요  패키지부터 순수하고 깨끗할것 같은느낌이네요 레몬보다 3배 많은 비타민 C를 함유하고 있어서 높은 피부친화력으로 모공을 막지 않으면서 피부 장벽을 건강하게 케어해준다고 해요  토너 사용후 적당량을 덜어 얼굴 전체에 부드럽게 펴바른 뒤 가볍겨 두들려 흡수시키면 PHA 3% 함유로 각질을 부드럽게 녹이며 수분을 가득 머금어 필링후 촉촉한 피부로 케어해 준다는것이 장점인것 같아요  자연유래성분으로 인공색소와 향료를 사용하지 않고 천연유래컬러를 사용한다는점이 마음에 들었어요 먼데이뮤지엄제품은 세계적으로 명성 높은 프랑스 비건인증기관인 이브비건으로 부터 정식으로 비건 인증을 받은 100% 비건 제품이라고 해서 더 마음에 드네요 그래서 그런지 제품 포장도 정성스럽고 고급스럽게 느껴졌어요 다쓰면 재구매하고 싶어요 ,"67,000원 "
619,yellow drop / pink drop / pink pad / red pad (택1),한번만 발라도 피부가 쫀득한 느낌으로 보습력이 좋아 지금부터 딱 바르기 좋을 것 같네요!! 만족,"25,000원 "
620,yellow drop / pink drop / pink pad / red pad (택1),크림앰플이 펌프형식으로 되어서 사용 하기에 정말 편리 해요!  속이 건조 한 편인데 사용 후에는 건조함이 사라지고 촉촉함이 남았어요!,"25,000원 "
621,yellow drop / pink drop / pink pad / red pad (택1),제가 피부가 예민해서 자극적인 상품을 이용 못하는데 이 제품은 사용해봤는데도 전혀 트러블이 없으니까 너무나 좋더라고요. 재품 이용후 수분감도 유지가 되고 너무나 좋아요,"25,000원 "
622,yellow drop / pink drop / pink pad / red pad (택1),건조한 날씨가 다가왔네요. 가을되니 바로 코쪽에 각질이 들떠요. 악건성에  얇은피부라 자극적인 스크럽제는 쓰지 못해요.ㅜㅜ 검색후 매일 각질관리해주면서 순하게 ! 피부에 자극없는 제품인거 같아 구입했어요.   먼저 먼데이 뮤지엄 레드 수더 퀵 앰플패드는 패드가 매우 얇아요. 그래서 기존 도톰한 패드보다 얼굴에 자극없이 쓱쓱 닦아주기 좋네요. 패드의 색도 살구색이라 재미있어요. 검색해보니 병풀추출물은 상처치료와 피부재생에 탁월하다고 하는데 50프로나 함유되어 있다하니  꾸준히 쓰면 많은 효과 볼듯하네요. 통안을 기울여보니 수분앰플이 찰랑일정도로 들어있어 맘에 들어요.  ﻿옐로 인스퍼레이션 필 드롭은 묽은 재질로 되어있고 스포이드 형식이라 편리해요. 피부에 바르자마자 끈적임없이 바로 흡수가 되네요.  과다피지와 노폐물을 정돈하여 매끈한 피부결로 만들어 준다네요. 아침저녁으로 써도 된다지만 피부가 얇기 때문에 우선 저녁에만 꾸준히 써볼예정입니다~^^,"25,000원 "
623,yellow drop / pink drop / pink pad / red pad (택1),두번째 구매입니다!  성분이 순해서 한통 다쓰도록 트러블 전혀없었어요 피부가 건성타입인데  촉촉하니 잘맞아서 만족합니다. 가을이라 더 건조한분들한테 추천이요~! 저는 이게 기본고정템이 될거같네요.,"25,000원 "
624,PINK DROP 30ml & PINK PAD 60sheets,요즘 환절기라 피부가 너무 건조해지고 트러블이 엄청 올라오고 있어서 스트레스였는데 데일리로 바르면서 관리 해주니 각질과 피지가 많이 줄어들면서 피부가 촉촉해지고 밝아졌어요 많이 예민한 피부라 쓰기전에 좀 걱정했는데 잘 맞는거 같아 만족스럽습니다,"67,000원 "
625,PINK DROP 30ml & PINK PAD 60sheets,  패드 제품을 개봉해보니 약간 자몽향이 느껴지더라구요 패드가 얇고 부드러운 제품입니다 사용해보니 패드와 엠플 모두 가벼운 제품이라 끈적임이 없어 너무 좋아요!  엠플은 약간 시큼한 향이나서 조금 아쉽네요 ,"67,000원 "
626,PINK DROP 30ml & PINK PAD 60sheets,패드 제품을 개봉해보니 약간 자몽향이 느껴지더라구요 패드가 얇고 부드러운 제품입니다 사용해보니 패드와 엠플 모두 가벼운 제품이라 끈적임이 없어 너무 좋아요!  엠플은 약간 시큼한 향이나서 조금 아쉽네요 ,"67,000원 "
