id,product_name,origin text,price
671,yellow drop / pink drop / pink pad / red pad (택1),촉촉해요 결이 매끄러워지는거같아요 환절기에 화장 잘 먹을걸 같아요,"25,000원 "
672,PINK DROP 30ml & PINK PAD 60sheets,구매후기 귀차니즘으로 잘안쓰는데 이건 다른 분들어게 도움되시라고 써요! 우선 닦토해도 속건조당김이 느껴지시면 무조건 이거써봐야되요! 몇일써보고 나니 당김전혀 없어요! 순한성분이라 좋고 더 저에게 잘맞아서 건조해결되는것같아요,"67,000원 "
673,PINK DROP 30ml & PINK PAD 60sheets,주르륵 흐르는 제형이고 바르면 금방 흡수되구요. 착 감기는 느낌으로 촉촉하고 바른 부분이 맨들맨들하네요. 모공에 각질에 난리인데 요즘 날씨에 쓰기 딱 괜찮아요. 뚜껑 닫았다가 나중에 열 때 스포이드에 알아서 채워지는 게 편해서 좋네요.,"67,000원 "
674,yellow drop / pink drop / pink pad / red pad (택1),각질을 가라 앉혀줘서 피부가 보들보들해져요ㅎㅎ 스킨이 피부 진정이 잘 되공 앰플이 각질을 보드랗게 가라앉혀줘서 잘 쓰고 있어용. 이거 쓰고 크림 바르면 흡수도 잘 대는고 가태용!,"25,000원 "
675,yellow drop / pink drop / pink pad / red pad (택1),제품 사용해보니 너무 촉촉하고 피부도 매끄러워지고 보들보들해지는거 같아요 덕분에 화장도 잘먹는거 같네요 !! 꼭써보세요 추천합니다 ~~  ,"25,000원 "
676,YELLOW INSPIRATION  PEEL DROP  30ml,아 기다리던 뮤지엄 필드롭! 오자마자 바로 꺼내서 발라봤어요~ 요즘 같은 날씨에 꼭 필요했거든요~ 고급스러운 포장과 케이스가 넘 맘에 드네요~ 예쁜 베이지색 앰플이 내 피부를 지켜줄것 같아요~ 바르자마자 산뜻하게 발리고 촉촉해지는게 기대했던것 이상!! 다른제품도 구매해보고 싶네요~~~^^쇼핑 고고,"35,000원 "
677,YELLOW INSPIRATION  PEEL DROP  30ml,피부결이 부드럽고 피부 트러블 없이 넘 좋아요,"35,000원 "
678,YELLOW DROP 30ml & RED PAD 60sheets,피부가 건조해서 스크럽해줘도 자꾸 각질이 생기고 트러블이 올라와서 진정케어 알아보다가 구입했는데요 수분감 대박이에요 패드에 진정앰플을 넣은거라 다른 토너패드보다 훨씬 더 촉촉해요 엘로우드롭도 사용해보니 끈적임없이 수분감충만해요 각질케어는 좀 더 써봐야 알겠지만 수분감과 발림감은 좋다는것에 만족합니다 ,"63,000원 "
679,PINK DROP 30ml & PINK PAD 60sheets,필링앰플은 처음써보는데 너무 좋네요. 자극도 다른 제품들 보다 덜하고 바르고 자면 다음날 화장이 잘먹어요! 고보습이라 건조한 요즘에 딱 이에요!!,"67,000원 "
680,PINK DROP 30ml & PINK PAD 60sheets,"빠른흡수에 즉각적인 효과랄까요~ 촉촉하니 끈적임 없어서 좋아요~ 향은 그럭저럭 평범하니, 만족합니다","67,000원 "
681,PINK DROP 30ml & PINK PAD 60sheets,그냥 너무 좋음 ~ 발림도  너무 좋고 촉촉해요,"67,000원 "
